name,brand,category,price,stock,sellingType,pricePerKg,weightIncrement,status,variant,isFeatured,description,imageUrl
Chaat masala,Goldiee,Masala,10,10,fixed,,,hot,masala,FALSE,"Chaat masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Sahi Paneer masala,Goldiee,Masala,10,10,fixed,,,hot,masala,FALSE,"Sahi Paneer masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Fish masala,Goldiee,Masala,10,10,fixed,,,hot,masala,FALSE,"Fish masala. Sometimes brand may be differ like ""Everest, Goldiee, Pushp or somethings other""",
Pasta masala,Maggi,Masala,5,25,fixed,,,sale,masala,FALSE,Pasta masala small packet.,
Maggi masala,Maggi,Masala,5,25,fixed,,,sale,masala,TRUE,Maggi masala small packet.,
Full cream Milk 500ml,Sudha,Milk,32,20,fixed,,,hot,milkproducts,TRUE,This is full cream milk -  500ml packet.,
Sakti cow Milk 500ml,Sudha,Milk,35,20,fixed,,,hot,milkproducts,TRUE,This is sakti cow milk - 500ml packet.,
Dahi 200g,Sudha,Milk,30,20,fixed,,,hot,milkproducts,TRUE,Small sudha dahi packet - 200g or 250g.,
Dahi 500g,Sudha,Milk,55,20,fixed,,,hot,milkproducts,FALSE,Sudha dahi packet -  400g or 500g.,
Paneer,Sudha,Milk,90,20,fixed,,,hot,milkproducts,TRUE,Sudha Panner packet - 200g or 250g.,
Bread 5 rupee,,Bread,5,10,fixed,,,hot,biscuitsbread,FALSE,Bread 5 rupee packet.,
Bread packet ( 15 slices ),,Bread,20,10,fixed,,,hot,biscuitsbread,FALSE,"Bread  small packet, its has about 15 to 20 slices.",
Marie Gold Biscuit,,Biscuits,40,25,fixed,,,new,biscuitsbread,FALSE,Marie Gold biscuit.,
Goodday Biscuit,,Biscuits,40,10,fixed,,,new,biscuitsbread,FALSE,Good day biscuit.,
Bread packet ( 30 slices ),,Bread,30,10,fixed,,,hot,biscuitsbread,FALSE,"Bread  large packet, its has about 20 to 30 slices.",
Pasta,,Snacks,60,5,loose,60,100,new,dailyuse,FALSE,Best quality of pasta.,
Macroni,,Snacks,60,5,loose,60,100,new,dailyuse,FALSE,Best quality of Macroni.,
Lux,,Soap,10,25,fixed,,,sale,soapsurf,TRUE,Lux small soap worth 10 rupee.,
Lux big soap,,Soap,35,25,fixed,,,new,soapsurf,FALSE,Lux big soap .,
Lifebouy,,Soap,10,25,fixed,,,sale,soapsurf,TRUE,Lifebouy small soap worth 10 rupee.,
Lifebouy big soap,,Soap,35,25,fixed,,,new,soapsurf,FALSE,Lifebouy big soap.,
Cinthol ,,Soap,10,25,fixed,,,sale,soapsurf,TRUE,Cinthol small soap worth 10 rupee.,
Patanjali haldi chandan,Patanjali,Soap,10,25,fixed,,,sale,soapsurf,FALSE,Patanjali haldi chandan small soap worth 10 rupee.,
Patanjali haldi chandan big soap,Patanjali,Soap,35,25,fixed,,,new,soapsurf,FALSE,Patanjali haldi chandan big soap.,
Dove,,Soap,40,10,fixed,,,new,soapsurf,TRUE,Dove soap for gentle skins.,
Pears,,Soap,40,10,fixed,,,new,soapsurf,TRUE,Pears soap for gentle skins.,
Surf Excel soap bar,,Soap,10,25,fixed,,,sale,soapsurf,FALSE,Surf excel small soap worth 10 rupee.,
Exo or Vim bar,,Soap,10,50,fixed,,,sale,soapsurf,FALSE,Vim or Exo small soap worth 10 rupee.,
Ariel surf 500g,,Surf,90,10,fixed,,,new,soapsurf,FALSE,Ariel surf for gentle wash.,
More Light surf 500g,,Surf,40,20,fixed,,,new,soapsurf,FALSE,More light surf or detergent.,
More Light surf 1kg,,Surf,75,20,fixed,,,new,soapsurf,FALSE,More light surf or detergent.,
Active Wheel surf 1kg,,Surf,85,20,fixed,,,sale,soapsurf,TRUE,Active Wheel surf or detergent.,
Ghari surf 1kg,,Surf,90,0,fixed,,,sale,soapsurf,TRUE,Ghari surf or detergent.,
